"Shape","Size_or_Ratio","Day","Area","BPM_gcamp","Maximum","FWHM","T0","T50","T75","BeatRatePeak_bpm","Time_Int_sec","Max_Contract_pixsec","Max_Relax","Group","ShapeGroup"
"Rectangle",4,20,0.806672361863452,0.641489655584909,1.34282095054312,-0.397307958639088,-0.440078160596819,-0.368813529410634,-0.506421315856431,-0.110006947250882,-0.0548752198968253,0.000510922847771694,0.331089785747493,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.436438866950288,0.0329623150168739,0.662241656726263,-0.506642251841375,-0.391825705090571,-0.48498887533584,-0.612400493719668,-0.499961699228192,-0.0969951839649009,-0.076217656408119,0.202847578071391,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.592532265327896,0.0436619478861049,-0.223607654792541,-0.0933157473433169,-0.472407305786005,0.00172275939419152,-0.164990435584731,-0.66885351599883,0.31126388216355,0.0558975767371029,0.228340022220422,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.789467494156542,0.0929779900135046,-0.219344017010172,-0.234549928444624,-0.55323016875897,-0.156562909804077,-0.308455321021435,-0.62594594504967,0.107134349099325,0.0275582157268541,0.337661754838928,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.629322796655289,0.076325655109078,0.113842499372056,-0.209681736265281,-0.55323016875897,-0.057502381840091,-0.213790953508715,-0.568593145071179,-0.00951437612039304,-0.292297050343763,-0.182790316816831,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.605541144656745,0.546062384259506,0.237981873256846,-0.150255332195331,-0.569394741353563,-0.0336011498022686,-0.196343688693414,-0.465225241480601,0.194620893014113,-0.142153666568385,-0.0125832677272681,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.434991974406129,-0.420591695381158,-0.0411231393505769,-0.276482845602208,-0.526450055953003,-0.174224864402307,-0.319338268381474,-0.961470896892952,0.0245119927822114,-0.394329897235124,-0.404152152347831,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.550506613704364,0.315201622387092,0.66738748290199,-0.269965664203483,-0.403165032134539,-0.205037296065524,-0.359242408701618,-0.647204125736678,0.194620893014113,-0.143324128287206,0.0684890372338134,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,1.83757014600828,-0.814199838588943,2.90137369215182,-0.771445622357974,-1.07869940922201,-0.525572975358295,-0.63641207599023,-1.38911463171327,-0.366739624965218,-0.617614471102214,-0.551436080574756,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,1.65480131054381,-0.424830933077864,2.7955642781266,-0.785680518570978,-1.28063593551566,-0.476292282473886,-0.602726762732967,-1.0800959739141,-0.376949830064111,-0.285735371010977,-0.160155250533641,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,1.86341690827439,-0.578198683701061,2.9968534002446,-0.698384588782799,-0.957344483623796,-0.508237382964597,-0.619051183773025,-1.04944876342366,-0.295296869624365,-0.345748135503269,-0.26229492527314,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,1.07436063610148,0.38225519349996,0.928947339610162,-0.109351443679652,-0.403165032134539,-0.0405123494276631,-0.191679568396255,-0.500507916370844,0.223777338248762,-0.290478021092435,-0.168673325631,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Star",1,18,-1.50732973044172,-0.182591498765039,-1.39866500007851,-0.325275953705817,0.336786373053772,-0.25159190465325,-0.154193860822787,0.566940625313779,-0.438188116376351,-0.701751414336843,-0.625059124213161,"Star 1to1 Day 18","Star 1to1"
"Star",1,18,-0.942410266927647,0.243515351396086,-0.00718180019054925,-0.265935302022693,0.398066991546706,-0.203405485042862,-0.0635026328224619,0.846153542274704,-0.370668833107208,-0.55676566252505,-0.438571971666896,"Star 1to1 Day 18","Star 1to1"
"Star",1,18,-1.39281476235581,0.743688284129452,-1.36781050193865,-0.435382018389532,-0.0656391058683354,-0.281271667488972,-0.200662318598192,1.18330238292047,-0.417773442248844,-0.681104672294189,-0.582482649483552,"Star 1to1 Day 18","Star 1to1"
"Star",1,18,-1.52303509133014,-0.302870349162749,-0.898476865571689,-0.296205894572032,-0.0516458937715236,-0.119031256282838,0.0234745734597546,3.19456247791909,1.98468781752079,-1.05418250480778,-1.06967407051663,"Star 1to1 Day 18","Star 1to1"
"Star",1,18,-0.775517788743179,1.33782252425418,-0.898278414101013,0.449754118421456,0.516768032092076,0.32722106397353,0.293734432900723,1.5001083256588,-0.0639496830802239,-0.864672085195995,-0.928554355837043,"Star 1to1 Day 18","Star 1to1"
"Star",1,18,-0.653281675898896,0.824068800097234,-1.0587466824683,0.60848178643513,0.35005579831799,0.690059044306736,0.617890793553314,1.16814116655549,0.296682791511086,-0.813494533253957,-0.913390946540884,"Star 1to1 Day 18","Star 1to1"
